name,review,star,review_num,ave_star,label
인크커피 가산 플래그십 스토어,대형 카페 그잡채빵들이 너무 맛있다 커피 독특한데 맛남,4.0,400,4.4,0
인크커피 가산 플래그십 스토어,이 가격에 이 용량에 샷 싸장님 맘이라지만 ㅎㅎㅎ 한번 가본걸로 이만,2.0,62,2.1,1
인크커피 가산 플래그십 스토어,트리보러 가는 곳넓은데 사람 많음빵은 다 맛있었는데 오히려 커피는 아쉬움,4.0,25,4.1,0
인크커피 가산 플래그십 스토어,동네라 자주 가는데 어쩔땐 친절하고 어쩔땐 불친절하고 알바바이알바인듯 ㅋㅋㅋ 근데 마감직전에 갔을땐 사장님인 것 같은데 친절하셨다 카페가 크고 디저트나 음료도 다양해서 딱히 갈데는 없는데 데이트 기분 내면서 밖에 있고 싶을땐 여기를 들리는 것 같다디저트랑 음료 모두 평타 저 로비앞에서 남자는 하나같이 여친 찍어주고 있고 ㅋㅋㅋ 나름 가산을 대표하는 카페인건 확실,4.0,90,3.4,0
인크커피 가산 플래그십 스토어,카페 분위기는 좋으나 디저트 준비하는 곳에서 일하시는 여자 알바가 너무 싸가지 없어서 기분 다 망쳤습니다 인원이 많아 테이블 두개로 나눠 앉아서 두개의 트레이에 디저트를 나눠 담고 한번에 결제했는데주문서도 잘 안보고 준비하는지 트레이 둘 다 챙겨가려하니 그쪽거 아니라고 하길래 저희꺼 맞아요라고 하니 아니라고요라고 하며 못 가져가게 해서 저희가 시킨거 맞고 나눠서 담았다니까 주문서도 다시 찾아보지않는 완강한 태도와 싸가지없는 말투오로 그쪽 테이블거 아니라고요하며 무시하듯 답변몇번을 맞다 아니다로 할게 아니라 이쯤되면 주문서 한번 다시 볼법도 하지않나요ㅎㅎ어찌나 황당하던지버터바 두개시켰는데 하나밖에 없고 저희가 시킨게 맞다니까 그제서야 주문서 보더니 다른 테이블 다른 디저트 주문서를 밑에 끼워두고는 이게 뭐야라며 당황하시더라고요끝까지 단 한마디의 사과도 받진 못했습니다몇번을 맞다고 하면 적어도 주문서를 다시 한번 보실 생각은 없으신가요 무시하는 듯한 말투 째려보는 눈 뭐 엄청난 친절과 서비스를 바라며 카페를 가진 않으나 아무리 그래도 본인이 착각하신거면 적어도 사과는 하셨어야하는 거 아닌가 싶습니다,1.0,1,1.0,1
인크커피 가산 플래그십 스토어,빵 맛있음,5.0,10,4.2,0
인크커피 가산 플래그십 스토어,트리가 너모 예뻐요ㅠㅠㅜㅜ사실 트리만 보고 방문했는데커피랑 빵도 맛있고카페 내부가 넓어서 손님들 많아도쾌적하더라구요토요일 시 방문했는데 사람들이 많지 않아여유있게 커피마시고 사진찍고 놀다왔네요주차 자리 협소하니 주변 건물 주차장에주차하세요 그게 훨씬 낫습니당참고로 바로 옆 건물 주차비 시간에 천원입니다 연말 분위기 느끼고 싶으면 꼭 방문하세요,5.0,34,4.5,0
인크커피 가산 플래그십 스토어,커피가 맛있고 매장 디자인이 감각적,5.0,25,3.5,0
인크커피 가산 플래그십 스토어,사진은 할로윈 전에찍은거에요자리가 엄청많고빵 종류도 많이 있는편입니다미팅장소에 좋은거같아요,4.0,34,4.2,0
인크커피 가산 플래그십 스토어,커피 맛있고 공간이 멋있다 베이커리는 ㄴㄴ,4.0,167,3.4,0
인크커피 가산 플래그십 스토어,매장이 매우 넓은 점이 마음에 들었습니다 직원분들도 친절하세요,5.0,11,4.2,0
인크커피 가산 플래그십 스토어,일단 드립커피 합격시그니처커피 굿,4.0,60,3.4,0
인크커피 가산 플래그십 스토어,커피도 맛있고 빵도 맛있는데 평일 아님 주말 시에 가면 앉아서 못 먹는다고 봐야해요,5.0,19,3.9,0
인크커피 가산 플래그십 스토어,빵 케잌 특히나 종맛탱구리,5.0,91,4.4,0
인크커피 가산 플래그십 스토어,넓어서 얘기하기 편하고 여유로웠어요 치아바타 얼그레이 드립커피 추천합니다 케이크나 달달한 빵은 평범했어요,5.0,44,4.1,0
인크커피 가산 플래그십 스토어,아메리카노 맛집,4.0,34,4.0,0
인크커피 가산 플래그십 스토어,빵도 맛있고 커피도 맛있어요 매장도 넓고 편하게 얘기하다 가기 좋아요,5.0,22,3.0,0
인크커피 가산 플래그십 스토어,넓고 깔끔함 날 좋으면 뷰 구경하는 재미가 있음 흡연실 있음 가격이 조금 비싼편 오후 시간 혹은 주말에는 자리잡기 힘듬 인석에서 노트북 가능,5.0,111,3.5,0
인크커피 가산 플래그십 스토어,분위기 좋고 깔끔주차가 불편함,4.0,36,2.4,0
인크커피 가산 플래그십 스토어,맛 분위기 짱짱입니다레몬파운드랑 인크슈페너 꼭드셔보세요소시지빵류도 맛있어요카페도 넓고 쾌적하고 좋습니다,5.0,92,4.0,0
인크커피 가산 플래그십 스토어,아아에 버터바랑 쿠키 했는데 맛은 없고여가게 넓고 예뻐요가디에 워낙 갈데가 없어서 이정도면 선녀에여,4.0,42,4.2,0
인크커피 가산 플래그십 스토어,가산 최고,5.0,12,3.3,0
인크커피 가산 플래그십 스토어,좋네요,5.0,3,5.0,0
인크커피 가산 플래그십 스토어,커피 맛있음 고소함과 신맛이 적당히 블랜딩베이커리류도 무난하게 맛남케이크는 비추 케이크 너무달아요 ㅠㅠ키페 넓고 쾌적하고 테이블 편함굳,4.0,222,3.9,0
인크커피 가산 플래그십 스토어,맛있는커피 보는재미 넓은장소 카페없기로 소문난 가산에 단비같은 장소,5.0,522,3.2,0
인크커피 가산 플래그십 스토어,아늑하고 전반적으로 시끄럽지 않은 분위기여서 만족스럽습니다,5.0,1,5.0,0
인크커피 가산 플래그십 스토어,커피 맛있고 한상 깨끗하고 쾌적하고 빵도 너무 맛있구 공간이 주는 평온함 소파도 푹신하고 케이블도 편해요,5.0,38,3.4,0
인크커피 가산 플래그십 스토어,원두사갈까 고민했을정도로 커피 맛있음 절대비추 지인에 가지말라고 할 집 재방문의사 없음평범 혹은 그이하 괜찮음 누가 가자고하면 다시감 맛있음 재방문의사 있음 추천 찐맛집,4.0,256,3.1,0
인크커피 가산 플래그십 스토어,비오는 날 중정이 더 멋지네요 지나가다 우연히 발견했는데 넘 예뻐서 시그니처 메뉴도 즐기고 갑니다,5.0,71,3.6,0
인크커피 가산 플래그십 스토어,커피 맛있어요 시그니처 커피도 괜찮네요 오렌지웅앵,5.0,30,4.6,0
인크커피 가산 플래그십 스토어,그린티 에쏘라떼 맛은 있으나 원에  종이컵 사이즈입니다이렇게 작은 사이즈인 줄 몰랐네요 ㅜㅜ,2.0,31,2.5,1
인크커피 가산 플래그십 스토어,빵이 정말 맛있네요,5.0,101,4.1,0
인크커피 가산 플래그십 스토어,너무 멋진 공간과 진한 커피 서비스 깨끗한 화장실 모두 만족 합니다 자주 갈거 같아요,5.0,43,3.1,0
인크커피 가산 플래그십 스토어,맛난 빵 좋은 커피 인생커피  볕이 활짝 드는 자리 퇴근후 갈 커피집이 생겼네요,5.0,3,2.3,0
인크커피 가산 플래그십 스토어,넓고 쾌적해서 혼자 카공하기에 좋아요 인테리어가 감각적이고 화장실까지 고급져요ㅋㅋ아메리카노는 산미가 강하며 베이커리는 평범합니다,4.0,240,3.8,0
인크커피 가산 플래그십 스토어,가산에 이런곳이,5.0,171,3.9,0
인크커피 가산 플래그십 스토어,커피는 괜찮았고 베이커리 무난했음 층 모두 테이블이 있는데주말이라 그런지 자리가 없어서 커피 사서 기다려야했음 자리가 생각보다 많지 않으니 자리 먼저 맡아두고 커피주문하는거 추천함,4.0,116,3.0,0
인크커피 가산 플래그십 스토어,너무 이뻐서 힐링하고 갑니당 층 모두 구경하세요,5.0,6,5.0,0
인크커피 가산 플래그십 스토어,커피 너무 맛있음 그리고 빵도 너무 맛있음 빵 다 쓸어오고싶다,5.0,41,3.9,0
인크커피 가산 플래그십 스토어,가산에 이런곳이 생기다니커피 맛을 떠나 감사합니다 ㅠㅠ,5.0,11,4.3,0
인크커피 가산 플래그십 스토어,시그니처 메뉴 맛있어요 깔루아밀크 싫어하는데도 인공적인 향이 안나서 맛있었어요솔직히 빵과 케이크는 비추입니다 그냥 커피랑 먹을 구움과자 정도만 주문해서 드세용드립커피 맛있어요 드립커피 마시고 층에서 드립백이랑 티백 원두 구매했습니다좌석 간격이 넓은편이어서 사람없는 평일에는 방문하기 좋아요 이야기든 공부든 집중이 잘돼요주말에 한 번 갔었는데 저는 평일에만 가겠습니다ㅎㅎ,5.0,4,3.5,0
