name,review,star,review_num,ave_star,label
피오니 홍대점,케이크 맛이쑤여,5.0,13,4.7,0
피오니 홍대점,케이크가 특별히 엄청 맛있는지는 모르겠어요 평범한 딸케에요,4.0,64,4.5,0
피오니 홍대점,진쟈 맛있어요 사람 많아도 포장 추천 홀케이크 먹고싶다 ㅍ,5.0,215,4.6,0
피오니 홍대점,커피가 너무 맛없어요 ㅠㅠ 딸기케익은 여전한 맛입니다 매장 안에 화장실 있어서 편해요,4.0,73,3.9,0
피오니 홍대점,어쩌다 홍대 관광명소가 됐는데 웨이팅 고생하지말고 테이크아웃 추천딸기빙수는 시럽맛이고 너무 달아서 비추 사진은 잘나옵니다 여기는 그냥 딸케만 먹는걸로,3.0,45,4.6,1
피오니 홍대점,피오니 딸기케익아쌈홍차 조합굳굳,4.0,43,4.0,0
피오니 홍대점,키 정도 되어보이는 사장님 주문 받기 싫으면 그냥 들어가서 쉬세요 왜이렇게 까칠하신지,1.0,4,4.0,1
피오니 홍대점,처음 딸기케이크먹었을때 충격이 아직도 기억나요 지금도 여전히 맛있네요,4.0,7,4.3,0
피오니 홍대점,존맛 개추,5.0,15,4.5,0
피오니 홍대점,역시 딸기는 다 옳아 딸기케이크 최고로 맛있어요,5.0,173,4.5,0
피오니 홍대점,딸기 넘 좋아요 맛있어요 사장님 친절하셔서 좋았어요,5.0,154,4.5,0
피오니 홍대점,딸기케이크랑 커피가 무난함 한시간 먹고 나오기 좋음,5.0,50,2.3,0
피오니 홍대점,너무 맛있고 제가 개인적으로 단 디저트를 싫어하는데 초코 케이크인데도 안 달고 맛있었어요 ㅠㅠ무엇보다 커피먹다가 다 흘렸는데 ㅠㅠ 와서 직접 닦아주시고ㅠㅠ 새롭게 리필해주심 감사해요 ㅠㅡㅠ,5.0,33,4.7,0
피오니 홍대점,홍대 케이크 하면 피오니 요즘 너무 맛난 케이크집 많아서 상향평준화 되었네용 무난무난 갈 만한 곳입니다,4.0,14,3.7,0
피오니 홍대점,맛있어욤 개인적으로는 일반 생일초 밖에 없어서 아쉬웠음 이쁜초도 같이 팔았으면 좋았을거같음,4.0,108,4.1,0
피오니 홍대점,아 케이크 맛집인데 나만알고싶다 진짜,5.0,74,3.6,0
피오니 홍대점,변함없이 맛있는데요즘엔 이정도로 만드는 가게 많이 생긴듯그래도 종종 들리는 피오니,5.0,111,4.1,0
피오니 홍대점,중요한 날마다 딸기 생크림 홀케이크 포장해가는데 맛있어용 ,4.0,42,3.8,0
피오니 홍대점,케이크는 먹을 만하나 커피나 음료 종류 창렬,2.0,129,3.5,1
피오니 홍대점,여기는 케익 맛집 자리가 쫌 불편하긴해요,4.0,129,4.3,0
피오니 홍대점,케익 맛있어요,4.0,112,4.4,0
피오니 홍대점,맛있지만 케익이 점점 작아져요ㅠㅠㅠㅠ,4.0,44,3.9,0
피오니 홍대점,케이크 개맛없어짐,1.0,90,4.0,1
피오니 홍대점,하도 유명해서 딸기케이크 먹었는데 크림이 너무 별로였다 한입 먹으면 입안이 미끌거리는 크림이라 느끼하고 딸기도 그렇게 맛있는지 잘 모르겠고 시트도 그닥 요즘 딸기 케이크 더 잘하는 곳이 많아서 재방문은 하지 않을 듯그리고 전화받은 점원분 너무 불친절함,1.0,12,3.3,1
피오니 홍대점,딸기생크림케이크 근본,5.0,118,4.0,0
피오니 홍대점,우유맛 생크림 좋아하시면 추천해용,5.0,8,4.5,0
피오니 홍대점,인생 딸기케이크   맛있어요,5.0,67,3.6,0
피오니 홍대점,딸기빙수 먹었는데 맛은 있었어요 근데 딸기 토핑이 적어서 가격 대비 비싸다고 생각합니다 근데 직접 방문해서야 매장을 시간만 이용할 수 있는 걸 알게 되었어요 남자사장님은 저희가 시간 조금 넘겨서 나갔다고그것도 분밖에 안 지났는데ㅋㅋ 손님이 먼저 인사했는데 받아주지도 않네요 저희 나가자마자 짜증나는 표정으로 직원한테 빨리 치우라고 손가락질 하는 거 보고 어이가 없었음 장사 그렇게 하지 마세요  다시는 방문할 일 없음,1.0,38,4.6,1
피오니 홍대점,빙수에 우유만 잔뜩 토핑 없고 딸기양도 가격대비 많이 부족하네요 가격이 저렴한 것도 아닌데 웨이팅이 없어도 무조건 시간 안에 나가라고 재촉하는 시스템을 왜 고수하시는건지 모르겠습니다나갈 때 손님이 먼저 인사해도 다 무시하고 모르는 척 하시는 거 보고 다시는 안 가야겠다고 느꼈습니다,1.0,26,1.3,1
피오니 홍대점,빙수랑 케이크 별로 안 좋아하는데 여기 빙수랑 케이크 먹어보고 맛있다고 첨 생각함빙수얼음이랑 생크림이 맛있다고 느낀건 첨이에요 갔을 때 딱 웨이팅 없어서 바로 들어가서 맛있게 먹었어요 홍대 갈 때 자주 갈 거 같아요,5.0,8,4.1,0
피오니 홍대점,머리 풀어헤친 직원이 맨손으로 케익꺼내서 포장해줌 위생이 의심된다,2.0,1,2.0,1
피오니 홍대점,딸기케이크,5.0,6,5.0,0
피오니 홍대점,홍대 딸기케익 명불허전 맞습니다 맛있어요,5.0,17,4.9,0
피오니 홍대점,추파추스 찐핑크 딸기맛 극혐하는 인그래서 카페에서 딸기주스 안사먹음대부분의 카페에서 생과일 주스라고 해도 다 딸기시럽 많이 넣어서 그 추파추스 맛나서 못먹겠음근데 딸기는 정말 좋아함시럽맛 안나고 진짜 딸기맛 주스를 찾고있었는데그게 바로 여기에요 여기 딸기주스 진짜 대존맛  나도 딸기주스 사먹을 카페가 생겼다,5.0,27,4.3,0
피오니 홍대점,딸기케익 맛있어요ㅠㅠ 맛도좋고 보기도 좋고 ㅎㅎㅎ,5.0,18,4.5,0
피오니 홍대점,딸기와 생크림조합 너무 좋아라하는데 이쁘고 맛잇어요ㅎ,5.0,124,4.0,0
피오니 홍대점,케익 넘 이쁘고 맛잇어요 가격도 좋고 디저트 잘먹고가요,5.0,192,3.8,0
피오니 홍대점,여기는 케익이 진짜 맛있어요,4.0,158,4.4,0
피오니 홍대점,딸기케익 진짜 맛있네요,5.0,108,4.8,0
피오니 홍대점,딸기케익 존맛탱 ㅠㅜ ,5.0,102,3.8,0
피오니 홍대점,공간에 비해 알바생이 많은데 친절한 사람이 어쩜 한 명도 없네요 포장주문도 한참 걸리고 언제 나오냐 어디서 받아야되냐 물으니 자리에서 기다리라는 식으로 짜증스럽게 말씀하시고 불친절해서 당황스럽고 민망했음 맛은 있으나 다신 안 가려 해요,1.0,39,2.0,1
피오니 홍대점,추억 소환하려고 오랜만에 방문했는데다들 왜이렇게 불친절할까요 ㅜㅠ,1.0,10,3.9,1
피오니 홍대점,맛집 인정,4.0,157,4.4,0
피오니 홍대점,이사 갔어도 늘 맛있는 피오니,5.0,6,5.0,0
피오니 홍대점,막 줄서서 먹을만큼은 솔직히 모르겟네요ㅎㅎ 그래도 맛있어요,3.0,104,4.6,1
피오니 홍대점,커피가 맛있어요,4.0,116,4.4,0
피오니 홍대점,생크림이 좀더 듬뿍 올라가고 시트가 더 부드러우면 더 맛있을거같다우유향이 나고 부드러운 생크림신선하고 새콤달콤한 딸기 드립커피도 꽤 괜찮은 편양에 비해 비싸지만 만족스러운 딸기케이크였다,4.0,392,3.6,0
피오니 홍대점,굿굿,4.0,87,4.2,0
피오니 홍대점,맛있어요,4.0,45,4.6,0
