,store_name,review,star,id_count,id_star,sentiment
1,프릳츠 양재점,의자가 심각하게 삐걱거려요위에 커피 올려 놓으면 엎지를 가능성 ,2.0,54,2.4,1
2,프릳츠 양재점,블루베리 파이 맛집,5.0,186,4.8,0
3,프릳츠 양재점,진짜 진짜 불친절 했음,1.0,5,2.6,1
4,프릳츠 양재점,커피 맛집 인줄 알았는데 빵 맛집 입니다,5.0,5,4.4,0
5,프릳츠 양재점,맛있어요,5.0,18,3.2,0
6,프릳츠 양재점,해당 점포와 인근 주변이 주차 난이도 극악이라 차량으로 이동하시는 분들에게는 적극 비추 그냥 대중교통으로 접근하시라고 하고 싶지만 그러기에도 접근성이 너무 심각하게 떨어진다 커피도 맛있고 레트로한 감성도 있으며 실력있는 바리스타들과 바리스타 친화적인 바 환경도 좋다,3.0,18,4.6,1
8,프릳츠 양재점,커피맛이 엄청 뛰어나지는 않지만 빵 커피 친절 감성 등 다방면으로 잘해서 굿잡인 곳 프릳츠에 가면항상 다시 찾고 싶게 만드는 힘이 있는 것 같다,5.0,97,4.6,0
9,프릳츠 양재점,자주가는 카페,5.0,46,4.3,0
10,프릳츠 양재점,커피 디저트 맛집 최고,5.0,163,4.5,0
11,프릳츠 양재점,양재점은 첨인데 괜찮네요 역시 프릳츠,5.0,177,4.6,0
12,프릳츠 양재점,여기 꾸인아망 맛집입니다,5.0,36,3.9,0
13,프릳츠 양재점,조아요,5.0,72,3.9,0
14,프릳츠 양재점,걷보기에는 가정집처럼 생겨서 찾기 힘들었던곳서울시네마 원두 항이 정말 좋았고 과일처럼 상큼하였다,5.0,248,4.2,0
15,프릳츠 양재점,맛있어요 좋아요,5.0,134,2.7,0
16,프릳츠 양재점,무난해요,5.0,50,3.1,0
17,프릳츠 양재점,무난무난 좋아요 인테리어도 예뻐용,5.0,29,4.2,0
18,프릳츠 양재점,올드한 컨셉이라서 유니크 해요 커피맛은 맛있규요,5.0,179,4.4,0
19,프릳츠 양재점,분위기는 좋아요 카페인데 테이블이 있어서 독특해요 물개캐릭터도 넘 귀엽구 근데 커피 외 음료 메뉴 개선은 좀 하셔야 할 듯ㅠㅠ 플랫화이트는 커피는 진한데 고소한 맛이 좀 약해서 아쉬웠어요,4.0,48,4.0,0
20,프릳츠 양재점,이로써 프릳츠 곳을 다 가봤습니다공덕안국양재양재는 의외로 조용하고 차분한 느낌이라 맘에 들었습니다 완전 실내라 참새비둘기님들과 동석할 일도 없겠구요 빵 종류도 훨씬 많은 느낌이 들었습니다,5.0,203,4.7,0
21,프릳츠 양재점,산딸기 휘낭시에 처음 먹었을 때 너무 맛있어서 놀랐어요 아주 평범할 수 있는 디저트인데 식감과 향이 특별하네요 언제 먹어도 맛있는 선물하고 싶어지는 맛이에요 크림치즈 타르트도 크림치즈 듬뿍이라 맛있어요 하지만 베스트는 촉촉향긋 휘낭시에,5.0,7,4.9,0
23,프릳츠 양재점,좋아하는 빵이 많아요,4.0,97,4.2,0
24,프릳츠 양재점,빵도 맛있고 분위기도 좋아요,4.0,59,4.2,0
25,프릳츠 양재점,커피랑 차종류는 별루빵은 무난한편 기대보단 별루ㅠ,2.0,35,2.6,1
26,프릳츠 양재점,음식이 맛있고 분위기도 굿굿,4.0,165,4.5,0
27,프릳츠 양재점,분위기도 좋아요,4.0,77,4.5,0
