name,review,star,review_num,ave_star,positive?
블루보틀 성수 카페,커피 맛도 그저 그렇고 분위기도 인상 깊지 않아서 아쉬웠음,3.0,15,4.7,1
블루보틀 성수 카페,커피는 뭐 딱히 안찍었고 굿즈가 진짜 너무 비쌈 커피는 맛있음,4.0,83,3.7,0
블루보틀 성수 카페,맛있고 친절해욘,4.0,31,3.6,0
블루보틀 성수 카페,뭐 얼마나 그렇게 비싼거 먹었다고 고나리질하는 댓글들만 가득한지 모르겠네요매장이 바쁘고 시끌벅적해서 싫으면 근처에 한적해보이는 다른 카페가면 될 것을 ㅋㅋㅋㅋ굳이 비집고 들어가서 업로드용 로고 사진 찍으면서 거들먹거리고는 싶고 브랜드 폄하하면 본인이 좀 더 우월감 느끼는지 진심으로 궁금함ㅋㅋㅋㅋㅋㅋㅋ저는 갈때마다 맛도 서비스도 크게 나쁜적 없었는데  본인이 갔을 때 서비스가 특히 안좋았으면 손님으로서 본인 태도부터 생각해보시길,5.0,1,5.0,0
블루보틀 성수 카페,오후 시에 갔는데 자리가 없을정도로 자리도 별로 없고 사람이 붐비지만 커피는 굿굿 다음에는 드립도 마셔볼 예정사진은 놀라플로트아이스크림라떼 원,4.0,97,4.6,0
블루보틀 성수 카페,핸드드립전문점 로스팅전문 드립커피 아메리카노 라떼 다 너무 좋음자리는 늘 부족,5.0,90,3.7,0
블루보틀 성수 카페,근처 지나다가 들렀는데  웨이팅 있었을 때 갔으면 엄청 화났을 듯 라떼 그냥 그래요 프랜차이즈 저가커피 라떼랑 비슷함,1.0,58,3.8,1
블루보틀 성수 카페,와이파이도 안되고 인테리어도 별로,2.0,115,3.7,1
블루보틀 성수 카페,집이 먼데 선물용이라 쇼핑백 구입한대도 안줌도쿄 블루보틀이 훨씬낫다육천원이 아까운 맛 맛없음,1.0,8,3.0,1
블루보틀 성수 카페,남직원한명이 불친절함 원두설명도 타점 직원은 쉽게 설명해주고 친절하게 알려주는데 여기 남직원은 귀찮은거마냥 하나도 이해안되게 무시하듯 설명,1.0,3,1.0,1
블루보틀 성수 카페,라떼만큼은 넘사드립은 다른데도 맛있는곳이 많아서분위기는 시장바닥,4.0,392,3.6,0
블루보틀 성수 카페,왜 유명한데임 왜왜 이가격주고 커피먹을빠에 컴포즈간다 매장은 넓고 이뻤음 근데 사람이 ㅈㄴ많아서 못앉고 걍탄식만나옴,1.0,21,3.2,1
블루보틀 성수 카페,직원들 개불친절 샌프란시스코 직원은 엄청친절했는데 좀 보고 배워라맛은 그냥 저냥,1.0,22,2.3,1
블루보틀 성수 카페,이 정도 맛을 내는 카페는 요즘은 어딜가든 있는거 같다 가격에 비해 커피맛은,1.0,161,3.2,1
블루보틀 성수 카페,위치나 인테리어 음악 같은 요소들은 좋아요 성수동에 커피로 유명한 카페들이 많긴 하지만 거기에 크게 뒤쳐지는 것도 아니고요 근데 서울 시내에 이정도 규모의 카페에서 무료 와이파이를 제공하지 않는 건 처음 경험하네요,2.0,16,2.7,1
블루보틀 성수 카페,주차 공간 너무 좋고 친절하고 쾌적하고 커피 맛도 좋았습니다 제 커피 내리면서 집중하고 직접 가져다 주시는데 이게 뭐라고 감동이죠,5.0,232,3.5,0
블루보틀 성수 카페, 폐지됐는데 찍지 않으면 못 마신다함 접종완료자가 아니어서 쫓겨남ㅋㅋ 주변에 더 맛있는 커피집 많아서 대체제가 많던데 굳이 갈 필요 없는 듯,1.0,137,4.4,1
블루보틀 성수 카페,직원분들 정말 친절하시고 핸드드립도 맛있음,5.0,16,3.7,0
블루보틀 성수 카페,외국에서 찾았갔던 블루보틀인데 성수에 생겨서 좋았습니다 커피 맛있어요,5.0,16,3.8,0
블루보틀 성수 카페,커피가 맛있는가  ㄴ 다른 여타 프렌차이즈 카페랑 똑같거나 혹은 그 이하 흔한 맛 뉴 올리언스 너무 싱거움가격이 저렴한가  ㄴ 근데 가격은 스타벅스 숏 사이즈에 벤티 가격시설이 좋은가  ㄴ 의자 개낮고 노 와이파이 노 콘센트직원이 친절한가  ㄴ 목소리 작아서 말 하나도 안들림 비가 새는가  ㄴ 지하 통유리로 물샘 그리고 은은하게 나는 꿉꿉한 냄새가 신경쓰임총평  인스타 인증용 그 이상도 그 이하도 아님,1.0,1,1.0,1
