name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,대형 카페 그잡채빵들이 너무 맛있다 커피 독특한데 맛남더보기,4.0,400,4.4
인크커피 가산 플래그십 스토어,이 가격에 이 용량에 1.5샷? 싸장님 맘이라지만 ㅎㅎㅎ 한번 가본걸로 이만더보기,2.0,62,2.1
인크커피 가산 플래그십 스토어,"트리보러 가는 곳넓은데 사람 많음빵은 다 맛있었는데, 오히려 커피는 아쉬움더보기",4.0,25,4.1
인크커피 가산 플래그십 스토어,동네라 자주 가는데 어쩔땐 친절하고 어쩔땐 불친절하고 알바바이알바인듯 ㅋㅋㅋ 근데 마감직전에 갔을땐 사장님인 것 같은데 친절하셨다.. 카페가 크고 디저트나 음료도 다양해서 딱히 갈데는 없는데 데이트 기분 내면서 밖에 있고 싶을땐 여기를 들리는 것 같다🎄디저트랑 음료 모두 평타~.~ 저 로비앞에서 남자는 하나같이 여친 찍어주고 있고 ㅋㅋㅋ 나름 가산을 대표하는 카페인건 확실~접기,4.0,90,3.4
인크커피 가산 플래그십 스토어,"카페 분위기는 좋으나 디저트 준비하는 곳에서 일하시는 여자 알바가 너무 싸가지 없어서 기분 다 망쳤습니다 ^^인원이 많아 테이블 두개로 나눠 앉아서 두개의 트레이에 디저트를 나눠 담고 한번에 결제했는데주문서도 잘 안보고 준비하는지.. 트레이 둘 다 챙겨가려하니 그쪽거 아니라고 하길래 저희꺼 맞아요~라고 하니 아니라고요;라고 하며 못 가져가게 해서 저희가 시킨거 맞고 나눠서 담았다니까 주문서도 다시 찾아보지않는 완강한 태도와 싸가지없는 말투오로 그쪽 테이블거 아니라고요!;;하며 무시하듯 답변몇번을 맞다 아니다로 할게 아니라 이쯤되면 주문서 한번 다시 볼법도 하지않나요?ㅎㅎ..어찌나 황당하던지..버터바 두개시켰는데 하나밖에 없고 저희가 시킨게 맞다니까 그제서야 주문서 보더니 다른 테이블 다른 디저트 주문서를 밑에 끼워두고는 이게 뭐야..라며 당황하시더라고요.끝까지 단 한마디의 사과도 받진 못했습니다^^몇번을 맞다고 하면 적어도 주문서를 다시 한번 보실 생각은 없으신가요? 무시하는 듯한 말투, 째려보는 눈, 뭐 엄청난 친절과 서비스를 바라며 카페를 가진 않으나.. 아무리 그래도 본인이 착각하신거면 적어도 사과는 하셨어야하는 거 아닌가 싶습니다.접기",1.0,1,1.0
인크커피 가산 플래그십 스토어,빵 맛있음더보기,5.0,10,4.2
인크커피 가산 플래그십 스토어,트리가 너모 예뻐요ㅠㅠㅜㅜ♡♡♡사실 트리만 보고 방문했는데커피랑 빵도 맛있고카페 내부가 넓어서 손님들 많아도쾌적하더라구요토요일 6시 방문했는데 사람들이 많지 않아여유있게 커피마시고 사진찍고 놀다왔네요주차 자리 협소하니 주변 건물 주차장에주차하세요~ 그게 훨씬 낫습니당...!참고로 바로 옆 건물 주차비 3시간에 4천원입니다. 연말 분위기 느끼고 싶으면 꼭 방문하세요!!접기,5.0,34,4.5
인크커피 가산 플래그십 스토어,더보기,4.0,253,3.5
인크커피 가산 플래그십 스토어,동네라 자주 가는데 어쩔땐 친절하고 어쩔땐 불친절하고 알바바이알바인듯 ㅋㅋㅋ 근데 마감직전에 갔을땐 사장님인 것 같은데 친절하셨다.. 카페가 크고 디저트나 음료도 다양해서 딱히 갈데는 없는데 데이트 기분 내면서 밖에 있고 싶을땐 여기를 들리는 것 같다🎄디저트랑 음료 모두 평타~.~ 저 로비앞에서 남자는 하나같이 여친 찍어주고 있고 ㅋㅋㅋ 나름 가산을 대표하는 카페인건 확실~접기,4.0,90,3.4
인크커피 가산 플래그십 스토어,"카페 분위기는 좋으나 디저트 준비하는 곳에서 일하시는 여자 알바가 너무 싸가지 없어서 기분 다 망쳤습니다 ^^인원이 많아 테이블 두개로 나눠 앉아서 두개의 트레이에 디저트를 나눠 담고 한번에 결제했는데주문서도 잘 안보고 준비하는지.. 트레이 둘 다 챙겨가려하니 그쪽거 아니라고 하길래 저희꺼 맞아요~라고 하니 아니라고요;라고 하며 못 가져가게 해서 저희가 시킨거 맞고 나눠서 담았다니까 주문서도 다시 찾아보지않는 완강한 태도와 싸가지없는 말투오로 그쪽 테이블거 아니라고요!;;하며 무시하듯 답변몇번을 맞다 아니다로 할게 아니라 이쯤되면 주문서 한번 다시 볼법도 하지않나요?ㅎㅎ..어찌나 황당하던지..버터바 두개시켰는데 하나밖에 없고 저희가 시킨게 맞다니까 그제서야 주문서 보더니 다른 테이블 다른 디저트 주문서를 밑에 끼워두고는 이게 뭐야..라며 당황하시더라고요.끝까지 단 한마디의 사과도 받진 못했습니다^^몇번을 맞다고 하면 적어도 주문서를 다시 한번 보실 생각은 없으신가요? 무시하는 듯한 말투, 째려보는 눈, 뭐 엄청난 친절과 서비스를 바라며 카페를 가진 않으나.. 아무리 그래도 본인이 착각하신거면 적어도 사과는 하셨어야하는 거 아닌가 싶습니다.접기",1.0,1,1.0
